"name","rating_count"
"Shree Muthahalli Veg",500
"Babai Tiffins",500
"Sandwich Guru",500
"Chicking",500
"Beijing Bites",500
"BOX8 - Desi Meals",500
"Kapoor's Cafe",500
"Adiga's",500
"Natural Ice Cream",500
"Kota Kachori And Falahaar",500
"Lo! - Low Carb and Keto Foods",500
"Andhra Gunpowder",500
"KFC",500
"NIC Natural Ice Creams",500
"Chaat Street",500
"Domino's Pizza",500
"Chai Point",500
"Just Delicious",500
"Soup Station",500
"The Bowl Company",500
"homely",500
"Chakka Manga Thenga",500
"Donne Biriyani House",500
"Maharaja Military Canteen",500
"Adiga's",500
"Andhra Gunpowder",500
"A2B Veg",500
"Veruthe Oru Thattukada",500
"RICE NOODLES",500
"Hyderabad Biryaani House",500
"Chowman",500
"ITC Master Chef Creations",500
"Beijing Bites",500
"Taco Bell",500
"Kabab Magic",500
"Rolls On Wheels",500
"Manjushree Veg",500
"Pallavi Restaurant (Authentic taste from Gulbarga)",500
"Hakuna Matata",500
"Chicken County Restaurant",500
"Chaat Street",500
"Onesta",500
"Nandanam Restaurant",500
"Parathas & More",500
"Lo! - Low Carb and Keto Foods",500
"Natural Ice Cream",500
"UDUPI VEG",500
"Glen's Bakehouse",500
"FreshMenu",500
"New Plantain Leaf",500
"Cafe Grill",500
"Khan Saheb Grills and Rolls",500
"Sendhoor Coffee",500
"Maven Kitchen",500
"Auntie Fung's",500
"homely",500
"Chefkraft",500
"SMOOR",500
"Soul Rasa",500
"Thalaivars Biryani",500
"NATRAJ Chole bhature",500
"Flax - Healthy Living",500
"Anjappar",500
"Qmin",500
"Rang De Basanti Dhaba",500
"Chinese Wok (Wok Express)",500
"NIC Natural Ice Creams",500
"Chopstick",500
"Domino's Pizza",500
"Natural Ice Cream",500
"La Pino'z Pizza",500
"Big Bowl Company",500
"Nandhana Palace",500
"The Hole in the Wall Cafe",500
"Singh Da Punjabi Dhaba",500
"Between The Bread",500
"Chaayos Chai+Snacks=Relax",500
"Rolls On Wheels",500
"Punjabi Dhaba",500
"Chai Point",500
"ODIA KHAIBA",500
"Glen's Bakehouse",500
"Fresh Bites",500
"Paakashala",500
"Istah - Shawarma & Biryani",500
"Laddoos",500
"Chowman",500
"Brik Oven",500
"Tandoori Taal",500
"Dal Roti Sabji",500
"Samosa Party",500
